chromosome	start	end	gene	log2	depth	spread
chr7	50399950	50400047	IKZF1	-0.352795	4443.34	0.047486
chr7	50400047	50400144	IKZF1	-0.274506	4696.18	0.0568636
chr7	50400144	50400240	IKZF1	0.049458	5927.09	0.0663007
chr7	50400240	50400337	IKZF1	0.364281	7396.95	0.0641103
chr7	50400337	50400434	IKZF1	-0.199909	5001.34	0.0753561
chr7	50400434	50400530	IKZF1	0.194341	6563.72	0.073678
chr7	50400530	50400627	IKZF1	-0.266574	4740.65	0.0850753
chr7	50400627	50400724	IKZF1	-0.915184	3004.88	0.0939401
chr7	101817515	101817628	CUX1	-2.24967	1214.55	0.113549
chr7	101817628	101817741	CUX1	-0.442395	4206.18	0.0863527
chr7	101916028	101916120	CUX1	-0.502743	3984.97	0.0516047
chr7	101916120	101916212	CUX1	0.436478	7699.97	0.0311795
chr7	101916212	101916304	CUX1	-0.448618	4157.47	0.041525
chr7	102027965	102028072	CUX1	-2.07178	1376.44	0.0806342
chr7	102028072	102028179	CUX1	-0.200613	5001.11	0.0492338
chr7	102070256	102070368	CUX1	0.298976	7003.29	0.0761496
chr7	102070368	102070480	CUX1	0.162335	6391.47	0.051192
chr7	102097236	102097342	CUX1	-2.40055	1092.34	0.0966996
chr7	102097342	102097448	CUX1	0.180013	6486.31	0.0454709
chr7	102097448	102097554	CUX1	0.293889	7015.14	0.0482843
chr7	102097554	102097660	CUX1	-2.09191	1357.75	0.0924811
chr7	102104296	102104411	CUX1	-0.309326	4520.3	0.340646
chr7	102104411	102104526	CUX1	-0.063769	5402.06	0.0991964
chr7	102111665	102111787	CUX1	0.178601	6412.03	0.0574837
chr7	102111787	102111909	CUX1	-1.71339	1736.89	0.0803395
chr7	102115089	102115183	CUX1	-0.44432	4172.74	0.0553395
chr7	102115183	102115277	CUX1	0.576474	8554.83	0.0485714
chr7	102115277	102115371	CUX1	-0.453727	4169.69	0.0434075
chr7	102158534	102158646	CUX1	-0.25707	4765.07	0.0631875
chr7	102158646	102158758	CUX1	-2.0169	1422.75	0.0879354
chr7	102170383	102170492	CUX1	-0.146704	5152.5	0.0465489
chr7	102170492	102170602	CUX1	-0.539617	3918.3	0.0522772
chr7	102170602	102170712	CUX1	-2.17741	1253.9	0.102315
chr7	102178275	102178373	CUX1	-2.67756	893.877	0.084192
chr7	102178373	102178471	CUX1	-0.940081	2980.6	0.0786741
chr7	102178471	102178569	CUX1	0.205562	6575.89	0.0543723
chr7	102178569	102178667	CUX1	0.343047	7241.33	0.0381851
chr7	102178667	102178766	CUX1	-0.169999	5049.9	0.0426761
chr7	102189761	102189855	CUX1	0.133661	6272.88	0.0495113
chr7	102189855	102189949	CUX1	-0.582721	3826.88	0.0416603
chr7	102189949	102190044	CUX1	-2.42971	1063.63	0.119042
chr7	102193710	102193824	CUX1	-1.77127	1692.88	0.0836577
chr7	102193824	102193938	CUX1	-0.144123	5216.85	0.0512262
chr7	102195401	102195518	CUX1	0.136334	6315.15	0.0724384
chr7	102195518	102195635	CUX1	-0.0120304	5677.6	0.0613979
chr7	102196609	102196706	CUX1	-0.0127839	5662.42	0.0533498
chr7	102196706	102196804	CUX1	-0.301075	4666.35	0.0676227
chr7	102196804	102196902	CUX1	0.266308	6883.39	0.0542603
chr7	102196902	102196999	CUX1	0.645653	8961.36	0.0527345
chr7	102196999	102197097	CUX1	0.412594	7625.14	0.0463909
chr7	102197097	102197195	CUX1	0.537984	8292.33	0.0483076
chr7	102197195	102197292	CUX1	-0.157323	5106.89	0.0805006
chr7	102197292	102197390	CUX1	-0.668474	3602.32	0.0772439
chr7	102197390	102197488	CUX1	-2.3394	1128.84	0.11432
chr7	102198752	102198877	CUX1	0.0785469	6030.7	0.0372264
chr7	102198877	102199002	CUX1	-1.9258	1487.95	0.089872
chr7	102199948	102200034	CUX1	-2.43327	1047.34	0.13795
chr7	102200034	102200120	CUX1	-0.459184	4151.49	0.0541179
chr7	102200120	102200206	CUX1	0.13962	6261.01	0.0563403
chr7	102201300	102201395	CUX1	-0.294001	4668.65	0.0378767
chr7	102201395	102201490	CUX1	-0.123357	5246.71	0.0626142
chr7	102201490	102201585	CUX1	-0.370309	4434.48	0.097055
chr7	102201585	102201680	CUX1	-0.193759	4981.05	0.100634
chr7	102201680	102201776	CUX1	-0.536024	3900.71	0.0905782
chr7	102201776	102201871	CUX1	-0.626744	3687.17	0.124307
chr7	102201871	102201966	CUX1	-0.489188	4069.62	0.130962
chr7	102201966	102202061	CUX1	-0.605092	3755.28	0.139536
chr7	102202061	102202156	CUX1	-0.344226	4474.44	0.106602
chr7	102202156	102202252	CUX1	-0.190184	4994.11	0.0651606
chr7	102204355	102204475	CUX1	-0.0533855	5519.29	0.0575691
chr7	102204475	102204595	CUX1	-0.074575	5421.4	0.0552246
chr7	102205067	102205151	CUX1	0.0100953	5734.78	0.0477172
chr7	102205151	102205236	CUX1	-0.682874	3562.52	0.0751027
chr7	102205236	102205321	CUX1	-2.4576	1035	0.11082
chr7	102227336	102227433	CUX1	-0.517781	3953.14	0.0804792
chr7	102227433	102227530	CUX1	0.00733524	5728.03	0.0422428
chr7	102227530	102227627	CUX1	0.520237	8231.96	0.055076
chr7	102227627	102227724	CUX1	0.0210267	5818.48	0.0626045
chr7	102227724	102227822	CUX1	-2.66844	906.669	0.0887651
chr7	102234026	102234148	CUX1	0.1107	6196.11	0.0590557
chr7	102234148	102234271	CUX1	0.179741	6507.01	0.0732103
chr7	102239156	102239249	CUX1	-2.68845	887.007	0.104653
chr7	102239249	102239342	CUX1	-0.997111	2847.05	0.0773891
chr7	102239342	102239435	CUX1	-0.475746	4094.76	0.0768777
chr7	102239435	102239528	CUX1	0.619221	8769.5	0.0372754
chr7	102239528	102239621	CUX1	0.304781	7046.9	0.0314523
chr7	102239621	102239714	CUX1	-2.70001	880.427	0.110442
chr7	102248207	102248307	CUX1	-2.86098	785.444	0.10071
chr7	102248307	102248408	CUX1	-0.662898	3604.7	0.0843828
chr7	102248408	102248508	CUX1	0.329357	7192.97	0.0743518
chr7	102248508	102248609	CUX1	0.0583555	5956.17	0.0834933
chr7	102248609	102248710	CUX1	-0.540921	3889.79	0.134664
chr7	102248710	102248810	CUX1	-0.941473	2931.01	0.255382
chr7	102248810	102248911	CUX1	-1.18845	2371.95	0.234038
chr7	102248911	102249011	CUX1	-0.237882	4790.54	0.102949
chr7	102249011	102249112	CUX1	-0.615565	3716.83	0.0757478
chr7	102249112	102249213	CUX1	-3.04503	692.769	0.115962
chr7	148807482	148807586	EZH2	-2.11499	1336.87	0.110147
chr7	148807586	148807690	EZH2	0.363193	7362.09	0.0461323
chr7	148807690	148807794	EZH2	0.87992	10423.7	0.0690305
chr7	148807794	148807899	EZH2	-1.93437	1490.88	0.101433
chr7	148808993	148809095	EZH2	0.194676	6512.05	0.0502483
chr7	148809095	148809198	EZH2	-0.643852	3660.33	0.0600741
chr7	148809198	148809301	EZH2	-0.39672	4286.41	0.0678437
chr7	148809301	148809404	EZH2	-0.0455032	5450.06	0.0858992
chr7	148809404	148809507	EZH2	-2.12618	1293.9	0.138834
chr7	148810151	148810263	EZH2	-0.163978	5079.68	0.0541316
chr7	148810263	148810376	EZH2	0.359657	7334.74	0.0377836
chr7	148810376	148810489	EZH2	0.129908	6282.04	0.0465958
chr7	148811467	148811569	EZH2	-0.313844	4588.04	0.0636539
chr7	148811569	148811672	EZH2	0.934026	10922	0.0551441
chr7	148811672	148811775	EZH2	0.633407	8817.63	0.0341645
chr7	148813890	148813978	EZH2	0.368272	7355.42	0.051038
chr7	148813978	148814066	EZH2	0.264749	6881.05	0.0455761
chr7	148814066	148814154	EZH2	0.17444	6462.91	0.0486028
chr7	148814154	148814242	EZH2	0.169338	6417.65	0.0376316
chr7	148814802	148814911	EZH2	-0.415837	4277.97	0.0536679
chr7	148814911	148815021	EZH2	1.11315	12367.1	0.0362257
chr7	148815021	148815130	EZH2	-0.0618224	5466.77	0.0403097
chr7	148815130	148815240	EZH2	-2.16362	1276.47	0.0991163
chr7	148815378	148815484	EZH2	-0.0138299	5638.38	0.0347788
chr7	148815484	148815591	EZH2	-0.158738	5118.05	0.0428298
chr7	148815591	148815698	EZH2	-1.93547	1498.16	0.0965137
chr7	148816587	148816684	EZH2	-0.660481	3606.96	0.0509313
chr7	148816684	148816781	EZH2	0.628287	8860.85	0.0344237
chr7	148816781	148816879	EZH2	-0.535666	3947.99	0.0501449
chr7	148817026	148817124	EZH2	-2.23545	1208.2	0.140013
chr7	148817124	148817222	EZH2	0.0908982	6075.49	0.0540535
chr7	148817222	148817321	EZH2	0.869812	10439.3	0.0359523
chr7	148817321	148817419	EZH2	0.792743	9924.68	0.0294998
chr7	148817419	148817518	EZH2	-1.62103	1859.45	0.0790698
chr7	148817772	148817878	EZH2	0.0981954	6127.07	0.0391276
chr7	148817878	148817984	EZH2	0.0730393	6017.8	0.0521225
chr7	148817984	148818090	EZH2	0.416893	7640.91	0.0397588
chr7	148818090	148818196	EZH2	-0.0372782	5582.31	0.0425638
chr7	148819385	148819484	EZH2	-0.316091	4545.65	0.0629255
chr7	148819484	148819584	EZH2	0.100065	6111.67	0.0649149
chr7	148819584	148819683	EZH2	-0.0725398	5403.18	0.0890322
chr7	148819683	148819783	EZH2	-0.607438	3707.95	0.105098
chr7	148819783	148819883	EZH2	-2.39749	1083.94	0.120533
chr7	148826347	148826454	EZH2	-0.200048	5011.87	0.0522805
chr7	148826454	148826561	EZH2	1.17193	12955.1	0.047433
chr7	148826561	148826668	EZH2	0.301049	7044.92	0.0452629
chr7	148826668	148826775	EZH2	-2.06667	1352.56	0.148147
chr7	148827105	148827200	EZH2	0.508819	8073.65	0.0482448
chr7	148827200	148827295	EZH2	-0.283186	4665.65	0.0833418
chr7	148827295	148827390	EZH2	-2.05684	1359.2	0.139974
chr7	148828599	148828700	EZH2	-1.68869	1753.66	0.11987
chr7	148828700	148828802	EZH2	0.703335	9334.78	0.0439045
chr7	148828802	148828904	EZH2	1.28028	13912.4	0.0312471
chr7	148828904	148829006	EZH2	-1.33883	2285.5	0.0646868
chr7	148829683	148829777	EZH2	0.441045	7706.52	0.0520534
chr7	148829777	148829871	EZH2	-0.0940117	5329.37	0.0889557
chr7	148829871	148829966	EZH2	-1.92329	1496.2	0.151609
chr7	148832506	148832595	EZH2	-1.89596	1521.77	0.131224
chr7	148832595	148832684	EZH2	-0.214088	4886.83	0.0842073
chr7	148832684	148832773	EZH2	0.382383	7428.31	0.045437
chr7	148846337	148846444	EZH2	-1.78718	1646.06	0.125828
chr7	148846444	148846552	EZH2	0.35126	7270.29	0.0513004
chr7	148846552	148846659	EZH2	1.31752	14185.3	0.0432585
chr7	148846659	148846767	EZH2	-0.723177	3460.2	0.0741931
chr7	148847061	148847150	EZH2	0.216096	6682.72	0.0780439
chr7	148847150	148847240	EZH2	0.318078	7085.12	0.0835437
chr7	148847240	148847330	EZH2	0.704683	9248.18	0.0552339
chr7	148850423	148850527	EZH2	-0.186286	5000.92	0.0821444
chr7	148850527	148850632	EZH2	-2.03171	1408.58	0.108945
chr8	116847381	116847478	RAD21	-2.38106	1081.59	0.134298
chr8	116847478	116847576	RAD21	0.228712	6676.31	0.0422469
chr8	116847576	116847674	RAD21	0.696295	9247.62	0.0401305
chr8	116847674	116847772	RAD21	-0.121049	5196.5	0.0625582
chr8	116848832	116848938	RAD21	0.30237	7049.93	0.0517237
chr8	116848938	116849045	RAD21	0.850349	10303.2	0.0410879
chr8	116849045	116849151	RAD21	0.0650869	5965.88	0.0526097
chr8	116849151	116849258	RAD21	-2.01435	1407.42	0.106939
chr8	116850557	116850643	RAD21	0.528642	8220.79	0.0546045
chr8	116850643	116850729	RAD21	0.121138	6238.49	0.0651445
chr8	116850729	116850816	RAD21	-0.00285525	5657.04	0.0896137
chr8	116851856	116851957	RAD21	0.103226	6116.89	0.0720342
chr8	116851957	116852058	RAD21	0.544902	8323.48	0.0420725
chr8	116852058	116852159	RAD21	0.459411	7846.56	0.041148
chr8	116852159	116852260	RAD21	-2.32819	1127.43	0.140711
chr8	116852452	116852555	RAD21	0.257127	6766.91	0.0408208
chr8	116852555	116852658	RAD21	0.0169714	5776.12	0.0503633
chr8	116852658	116852761	RAD21	0.233263	6718.61	0.0674168
chr8	116854096	116854194	RAD21	-2.25201	1194.23	0.0912205
chr8	116854194	116854292	RAD21	0.411154	7579.4	0.0361893
chr8	116854292	116854390	RAD21	0.492597	8037.32	0.0369104
chr8	116854390	116854488	RAD21	0.135487	6264.6	0.0381616
chr8	116856034	116856139	RAD21	-0.768621	3359.29	0.0529754
chr8	116856139	116856244	RAD21	1.01197	11556.2	0.0411684
chr8	116856244	116856350	RAD21	0.119402	6209.77	0.061256
chr8	116856350	116856455	RAD21	-1.37005	2214.09	0.12259
chr8	116856455	116856560	RAD21	-1.24741	2405.4	0.0948673
chr8	116856560	116856666	RAD21	0.557182	8383.29	0.0351972
chr8	116856666	116856771	RAD21	0.401381	7579.42	0.0372081
chr8	116856771	116856877	RAD21	0.0330503	5850.11	0.0568158
chr8	116857137	116857231	RAD21	0.45196	7805.54	0.0501112
chr8	116857231	116857325	RAD21	1.07214	11998.5	0.061835
chr8	116857325	116857419	RAD21	1.15203	12725.1	0.046863
chr8	116857419	116857513	RAD21	0.260625	6823.47	0.064593
chr8	116857513	116857608	RAD21	-2.30304	1150.7	0.150403
chr8	116858183	116858283	RAD21	0.0984911	6095.56	0.0751254
chr8	116858283	116858383	RAD21	0.611166	8713.06	0.068861
chr8	116858383	116858483	RAD21	1.42932	15327.8	0.0539638
chr8	116858483	116858583	RAD21	0.301104	6992.18	0.0577828
chr8	116858583	116858683	RAD21	-2.07113	1345.46	0.112352
chr8	116861716	116861812	RAD21	-2.29732	1146.73	0.161374
chr8	116861812	116861909	RAD21	0.485961	7949.41	0.071094
chr8	116861909	116862005	RAD21	0.597614	8605.13	0.0553823
chr8	116862005	116862102	RAD21	-2.46777	1031.38	0.121708
chr8	116863013	116863120	RAD21	0.246937	6772.65	0.0753485
chr8	116863120	116863228	RAD21	0.184718	6498.15	0.0696458
chr8	116863228	116863336	RAD21	0.212607	6623.66	0.0538709
chr8	116866401	116866491	RAD21	-2.13864	1280.1	0.152579
chr8	116866491	116866581	RAD21	-0.370106	4398.56	0.0738998
chr8	116866581	116866672	RAD21	0.860688	10338.4	0.0435787
chr8	116866672	116866762	RAD21	0.269657	6854.17	0.046686
chr8	116866762	116866853	RAD21	-2.32206	1146.85	0.107861
chr9	5021866	5021961	JAK2	-2.68504	879.561	0.141195
chr9	5021961	5022057	JAK2	-0.0844198	5353.51	0.0592145
chr9	5022057	5022153	JAK2	0.612997	8685.83	0.0403434
chr9	5022153	5022249	JAK2	-0.267634	4732.97	0.056892
chr9	5022249	5022345	JAK2	-2.10979	1321.38	0.124278
chr9	5029661	5029767	JAK2	-2.00475	1427.56	0.121907
chr9	5029767	5029874	JAK2	0.31715	7095.8	0.0943802
chr9	5029874	5029981	JAK2	0.229748	6688.87	0.0910631
chr9	5029981	5030088	JAK2	-2.14827	1275.15	0.166008
chr9	5044274	5044366	JAK2	-2.55462	975.03	0.125523
chr9	5044366	5044459	JAK2	0.413909	7610.04	0.0614681
chr9	5044459	5044552	JAK2	0.469849	7901.15	0.0643741
chr9	5044552	5044645	JAK2	-2.17814	1265.3	0.11384
chr9	5050556	5050655	JAK2	-2.38558	1104.03	0.108803
chr9	5050655	5050754	JAK2	0.380934	7442.15	0.0500605
chr9	5050754	5050853	JAK2	0.363636	7319.8	0.0895853
chr9	5050853	5050952	JAK2	-2.24772	1182.47	0.164268
chr9	5054410	5054513	JAK2	-1.88146	1579.77	0.0919877
chr9	5054513	5054617	JAK2	0.535554	8330.82	0.0332626
chr9	5054617	5054720	JAK2	0.424478	7669.18	0.0448407
chr9	5054720	5054824	JAK2	0.766472	9698.73	0.0420606
chr9	5054824	5054927	JAK2	0.233531	6729.11	0.0564268
chr9	5054927	5055031	JAK2	-1.85745	1573.42	0.10786
chr9	5055548	5055655	JAK2	-1.90296	1549.06	0.0943931
chr9	5055655	5055763	JAK2	0.362672	7370.96	0.0507522
chr9	5055763	5055870	JAK2	0.483793	8018.39	0.0568937
chr9	5055870	5055978	JAK2	-1.66249	1823.58	0.105536
chr9	5064748	5064847	JAK2	-2.4321	1061.83	0.102987
chr9	5064847	5064946	JAK2	0.14807	6323.47	0.0433194
chr9	5064946	5065045	JAK2	0.576669	8507.55	0.0317391
chr9	5065045	5065144	JAK2	-0.453837	4155.27	0.0497927
chr9	5065144	5065243	JAK2	-2.26057	1191.91	0.104449
chr9	5066553	5066649	JAK2	-2.32989	1131.89	0.139083
chr9	5066649	5066745	JAK2	0.347931	7231.53	0.0708803
chr9	5066745	5066841	JAK2	0.364703	7322.65	0.0736883
chr9	5066841	5066937	JAK2	-2.47664	1017.1	0.121348
chr9	5068990	5069096	JAK2	0.223773	6665.72	0.0649608
chr9	5069096	5069203	JAK2	0.747749	9696.64	0.0468472
chr9	5069203	5069310	JAK2	-0.228696	4884.77	0.0769764
chr9	5069767	5069877	JAK2	-1.38326	2179.3	0.102572
chr9	5069877	5069988	JAK2	1.11557	12333.4	0.0606364
chr9	5069988	5070099	JAK2	0.874466	10422.8	0.0637344
chr9	5070099	5070210	JAK2	-1.6464	1806.87	0.141806
chr9	5072378	5072473	JAK2	-0.703672	3485.41	0.0919028
chr9	5072473	5072568	JAK2	1.08598	12143.8	0.0502301
chr9	5072568	5072663	JAK2	1.04917	11770.4	0.0531678
chr9	5072663	5072758	JAK2	-1.00253	2844.06	0.099636
chr9	5073575	5073671	JAK2	0.704965	9263.63	0.0518676
chr9	5073671	5073767	JAK2	1.24566	13516.2	0.0408867
chr9	5073767	5073863	JAK2	0.572569	8502.13	0.0507305
chr9	5073863	5073960	JAK2	-1.92524	1502.47	0.135486
chr9	5077316	5077412	JAK2	-0.117133	5219.35	0.0925456
chr9	5077412	5077509	JAK2	0.997539	11345	0.0632659
chr9	5077509	5077605	JAK2	1.03857	11707	0.065965
chr9	5077605	5077702	JAK2	0.135485	6257.43	0.0786251
chr9	5078192	5078284	JAK2	-0.859398	3152.54	0.0820457
chr9	5078284	5078377	JAK2	1.06613	11953	0.0376612
chr9	5078377	5078470	JAK2	1.12858	12478.5	0.0445415
chr9	5078470	5078563	JAK2	-0.813906	3240.69	0.0840477
chr9	5080070	5080177	JAK2	-2.08156	1343.33	0.108906
chr9	5080177	5080284	JAK2	0.465941	7862.78	0.04576
chr9	5080284	5080391	JAK2	0.570314	8509.02	0.0570541
chr9	5080391	5080498	JAK2	0.0902507	6133.85	0.0545022
chr9	5080498	5080605	JAK2	0.307366	7103.58	0.0633893
chr9	5080605	5080712	JAK2	0.497353	8099.53	0.0466939
chr9	5080712	5080819	JAK2	-1.93739	1521	0.0921473
chr9	5081592	5081691	JAK2	-2.1977	1254.28	0.110154
chr9	5081691	5081791	JAK2	0.497705	8048.24	0.0517649
chr9	5081791	5081891	JAK2	0.585703	8603.1	0.0609733
chr9	5081891	5081991	JAK2	-1.8505	1605.13	0.11282
chr9	5089552	5089649	JAK2	-0.142613	5155.13	0.069431
chr9	5089649	5089746	JAK2	0.75026	9639.55	0.0570141
chr9	5089746	5089843	JAK2	1.19607	13129	0.0468555
chr9	5089843	5089941	JAK2	0.574439	8482.47	0.0322979
chr9	5090312	5090414	JAK2	-1.69572	1742.8	0.156915
chr9	5090414	5090517	JAK2	0.177316	6454.78	0.0908103
chr9	5090517	5090620	JAK2	0.6248	8766.72	0.0607662
chr9	5090620	5090723	JAK2	-0.92069	3017.3	0.0506103
chr9	5090723	5090826	JAK2	0.564829	8404.33	0.0406561
chr9	5090826	5090929	JAK2	0.306636	7059.72	0.0538935
chr9	5090929	5091032	JAK2	-1.86295	1560.49	0.099807
chr9	5122974	5123082	JAK2	-0.0350055	5544.94	0.0466691
chr9	5123082	5123190	JAK2	-0.127898	5215.29	0.0415703
chr9	5123190	5123298	JAK2	-2.08866	1342.17	0.110082
chr9	5126188	5126282	JAK2	-2.14644	1287.06	0.0897212
chr9	5126282	5126377	JAK2	0.583489	8597.16	0.0435012
chr9	5126377	5126471	JAK2	0.595567	8657.97	0.0426718
chr9	5126471	5126566	JAK2	-2.22458	1231.22	0.0899749
chr9	5126652	5126763	JAK2	0.0160431	5800.31	0.0432678
chr9	5126763	5126874	JAK2	-0.384298	4369.44	0.0502939
chr9	5126874	5126985	JAK2	-2.00873	1415.89	0.105965
chr10	26994985	26995074	ANKRD26	-0.0706686	5419.37	0.0641531
chr10	26995074	26995164	ANKRD26	0.652565	8956.54	0.0575453
chr10	26995164	26995254	ANKRD26	0.403341	7530.94	0.0452003
chr10	27005473	27005570	ANKRD26	-2.386	1091.25	0.101714
chr10	27005570	27005668	ANKRD26	0.202426	6532.06	0.0632314
chr10	27005668	27005766	ANKRD26	0.160339	6328.82	0.072599
chr10	27005766	27005864	ANKRD26	-2.62734	914.539	0.12528
chr10	27006833	27006953	ANKRD26	0.430748	7702.29	0.096625
chr10	27006953	27007074	ANKRD26	0.499183	8073.82	0.0961087
chr10	27012762	27012864	ANKRD26	-2.32191	1142.67	0.109924
chr10	27012864	27012966	ANKRD26	0.144639	6284.23	0.0651045
chr10	27012966	27013068	ANKRD26	0.361327	7306.24	0.0493555
chr10	27013068	27013170	ANKRD26	-0.481964	4068.52	0.044643
chr10	27013170	27013272	ANKRD26	-2.32005	1136.52	0.120554
chr10	27014431	27014536	ANKRD26	-0.0780622	5360.69	0.105244
chr10	27014536	27014641	ANKRD26	-0.0704665	5451.62	0.0805124
chr10	27014641	27014747	ANKRD26	0.186158	6489.06	0.0596979
chr10	27017379	27017484	ANKRD26	0.209112	6586.92	0.047687
chr10	27017484	27017590	ANKRD26	0.991495	11348.4	0.043196
chr10	27017590	27017695	ANKRD26	0.644561	8915.57	0.0554525
chr10	27017695	27017801	ANKRD26	0.589901	8549.84	0.0408476
chr10	27017801	27017906	ANKRD26	-0.0214593	5593.25	0.0484742
chr10	27017906	27018012	ANKRD26	-2.54046	981.379	0.122232
chr10	27022459	27022552	ANKRD26	-0.0937881	5304.48	0.103742
chr10	27022552	27022646	ANKRD26	1.1272	12471.1	0.0678396
chr10	27022646	27022739	ANKRD26	0.807325	9952.85	0.0701857
chr10	27022739	27022833	ANKRD26	-2.2828	1164.46	0.166666
chr10	27024264	27024368	ANKRD26	-2.38055	1083.04	0.158779
chr10	27024368	27024473	ANKRD26	-0.101201	5222.67	0.107235
chr10	27024473	27024577	ANKRD26	-0.149241	5032.01	0.123985
chr10	27024577	27024682	ANKRD26	-2.63206	907.173	0.160881
chr10	27028644	27028747	ANKRD26	-2.44613	1047.97	0.138204
chr10	27028747	27028851	ANKRD26	0.236755	6763.56	0.0609308
chr10	27028851	27028955	ANKRD26	0.616022	8813.53	0.0641295
chr10	27028955	27029059	ANKRD26	0.210109	6700.85	0.0658963
chr10	27029169	27029273	ANKRD26	-1.95186	1468.14	0.158834
chr10	27029273	27029378	ANKRD26	-0.0493385	5534.87	0.0730029
chr10	27030528	27030638	ANKRD26	-0.196824	4965.53	0.0571439
chr10	27030638	27030749	ANKRD26	-1.89466	1534.55	0.104919
chr10	27033065	27033161	ANKRD26	-2.03162	1385.52	0.140378
chr10	27033161	27033257	ANKRD26	-0.234498	4810.7	0.0896848
chr10	27033257	27033353	ANKRD26	0.784213	9767.05	0.0726428
chr10	27033353	27033449	ANKRD26	0.0569118	5909.42	0.100005
chr10	27033449	27033546	ANKRD26	-2.2197	1218.2	0.159555
chr10	27034663	27034761	ANKRD26	-1.69163	1764.94	0.113005
chr10	27034761	27034859	ANKRD26	0.194746	6548.53	0.0763158
chr10	27034859	27034957	ANKRD26	0.534532	8221.8	0.0541644
chr10	27034957	27035055	ANKRD26	0.600439	8646.76	0.051647
chr10	27035055	27035153	ANKRD26	-0.00598946	5738.49	0.0653035
chr10	27035153	27035251	ANKRD26	0.616483	8725.22	0.0478704
chr10	27035251	27035349	ANKRD26	-0.202837	4961.31	0.0735658
chr10	27035349	27035447	ANKRD26	0.0328346	5855.91	0.0547986
chr10	27035447	27035545	ANKRD26	0.873764	10506.8	0.0450686
chr10	27035545	27035643	ANKRD26	0.547472	8426.65	0.0546579
chr10	27035643	27035741	ANKRD26	1.11138	12410.1	0.0268746
chr10	27035741	27035839	ANKRD26	0.478812	7991.36	0.0470371
chr10	27035839	27035937	ANKRD26	-2.31279	1152.62	0.115113
chr10	27037034	27037138	ANKRD26	-2.02141	1414.65	0.105267
chr10	27037138	27037243	ANKRD26	0.269262	6885.61	0.06029
chr10	27037243	27037347	ANKRD26	0.269625	6911.44	0.0597769
chr10	27037347	27037452	ANKRD26	-2.02164	1418.95	0.102373
chr10	27037710	27037808	ANKRD26	-2.13007	1293.4	0.154668
chr10	27037808	27037906	ANKRD26	-0.430183	4243.72	0.078385
chr10	27037906	27038004	ANKRD26	0.257259	6842.56	0.0549607
chr10	27038004	27038102	ANKRD26	0.237496	6743.01	0.0400273
chr10	27039823	27039924	ANKRD26	-2.19006	1262.82	0.114591
chr10	27039924	27040025	ANKRD26	0.359543	7365.54	0.0653002
chr10	27040025	27040126	ANKRD26	0.613481	8779.23	0.0692419
chr10	27040126	27040227	ANKRD26	0.0157466	5362.59	0.0633394
chr10	27043310	27043405	ANKRD26	-2.97227	713.266	0.157302
chr10	27043405	27043501	ANKRD26	0.643562	8901.57	0.0940275
chr10	27043501	27043596	ANKRD26	0.354363	7228.6	0.105992
chr10	27043596	27043692	ANKRD26	-2.21313	1208.95	0.181651
chr10	27043992	27044093	ANKRD26	-2.34907	1108.19	0.162533
chr10	27044093	27044194	ANKRD26	0.343147	7241.76	0.0662199
chr10	27044194	27044295	ANKRD26	0.438336	7738.13	0.0790775
chr10	27044295	27044397	ANKRD26	-1.95834	1479.58	0.121102
chr10	27046237	27046339	ANKRD26	-2.21154	1237.96	0.107101
chr10	27046339	27046441	ANKRD26	0.302294	7027.6	0.0534426
chr10	27046441	27046543	ANKRD26	0.349825	7253.44	0.0403579
chr10	27046543	27046645	ANKRD26	-2.19961	1248.64	0.0809776
chr10	27048681	27048775	ANKRD26	-2.07213	1363.46	0.0901495
chr10	27048775	27048869	ANKRD26	0.414128	7633.17	0.0436252
chr10	27048869	27048964	ANKRD26	0.870994	10436.7	0.030195
chr10	27048964	27049058	ANKRD26	-0.400362	4320.86	0.0643067
chr10	27049058	27049153	ANKRD26	-2.13723	1295.6	0.119461
chr10	27050832	27050931	ANKRD26	-2.01734	1415.16	0.115023
chr10	27050931	27051031	ANKRD26	0.483225	8003.09	0.0492519
chr10	27051031	27051131	ANKRD26	1.01363	11508.4	0.0391163
chr10	27051131	27051231	ANKRD26	0.504303	8092.68	0.0384569
chr10	27051231	27051331	ANKRD26	-0.0349144	5561.25	0.0659934
chr10	27051331	27051431	ANKRD26	-0.140451	5155.98	0.0746018
chr10	27051431	27051531	ANKRD26	0.0571648	5938.07	0.0604709
chr10	27051531	27051630	ANKRD26	0.700634	9367.66	0.0502623
chr10	27051630	27051730	ANKRD26	0.67737	9192.67	0.0416436
chr10	27051730	27051830	ANKRD26	-0.276939	4717.04	0.0832055
chr10	27051830	27051930	ANKRD26	0.0176062	5830.11	0.059197
chr10	27051930	27052030	ANKRD26	0.627166	8846.05	0.0458653
chr10	27052030	27052130	ANKRD26	0.127021	6263.11	0.0587472
chr10	27052130	27052230	ANKRD26	-2.4461	1054.94	0.126962
chr10	27053146	27053250	ANKRD26	-2.11242	1320.96	0.124669
chr10	27053250	27053355	ANKRD26	0.384006	7473.13	0.0567923
chr10	27053355	27053459	ANKRD26	0.495888	8106.37	0.0620445
chr10	27053459	27053564	ANKRD26	-1.76134	1707.86	0.115486
chr10	27060174	27060282	ANKRD26	-2.05874	1376.92	0.111697
